setor,beta0,beta_k,beta_kk,beta_omega,beta_v,beta_vv,beta_vk
"Indústria extrativa e agropecuária",0.684979186645558,-0.852455823227398,-0.0267402113532334,0.790608459475938,1.77346062355508,-0.0915566904977968,0.121170931637614
"Alimentos e bebidas",0.0489293877766361,-0.0450613822672227,-0.00275607629684436,1.01193565411307,1.05019210250577,-0.00883081369660274,0.0114381675685551
"Têxteis, vestuário, couro e calçados",0.253399744938309,-0.147687051203083,-0.0731775978906518,1.01388455692798,1.04181346636452,-0.080116759153066,0.160965532536913
"Madeira, celulose, papel, artigos de borracha e material plástico",-1.46721143172263,1.16673842712046,-0.262635243882824,1.00723618094494,-0.0219396260217683,-0.236214002520876,0.494842579140081
"Indústria química e petroquímica",-0.324342550008219,-0.133312414876711,-0.0281476617666916,1.00684745092696,1.1394892566792,-0.0389927941174822,0.0686564143489747
"Metalurgia, siderurgia e produtos de minerais não-metálicos",0.258565419620673,0.108061222734274,-0.0252858399374145,1.01081036602393,0.810487935230553,-0.011524159316293,0.0422882700529451
"Máquinas, equipamentos e aparelhos diversos",-0.0036978948455432,0.112565475555429,-0.0425283222773898,1.00339728545327,0.905589572933447,-0.0264164994743534,0.0678750041689383
"Veículos automotores e e outros equipamentos de transporte",0.0292567232914769,-0.231577674350291,0.0112870932645625,1.00674397405029,1.20865929361644,-0.00253613277154904,-0.0067989096387473
