setor,beta0,beta_k,beta_kk,beta_omega,beta_v,beta_vv,beta_vk
"Indústria extrativa e agropecuária",0.721455686095874,-0.852869644373255,-0.0480871172407357,1,1.75907356550485,-0.112539649275754,0.164489086833655
"Alimentos e bebidas",0.0789122478974111,0.000644639723187909,0.0014085699014219,1,0.998154413542964,-0.00057641704897974,-0.000706639876635124
"Têxteis, vestuário, couro e calçados",0.0900108998691684,-0.03830668631363,-0.0594848800271042,1,0.972506909465209,-0.0568404139596863,0.121693658783208
"Madeira, celulose, papel, artigos de borracha e material plástico",0.334453149690907,-0.217788145804171,-0.0945192956099535,1,1.19935509442316,-0.12394366299047,0.218539193580987
"Indústria química e petroquímica",-0.0662650917077389,-0.0183067787813553,-0.038962485568816,1,0.988171517608591,-0.0393591523047974,0.0812479360519377
"Metalurgia, siderurgia e produtos de minerais não-metálicos",0.114237026204843,0.13885187312802,-0.0309754735997908,1,0.806449955362713,-0.0169223027001281,0.052199873908104
"Máquinas, equipamentos e aparelhos diversos",-0.0420002209211605,0.41811536009749,-0.00783475265294227,1,0.654404570716338,0.0312728830630873,-0.0292849987550874
"Veículos automotores e outros equipamentos de transporte",0.00943280617710001,-0.153450399776354,0.0133235628349531,1,1.12535036425876,0.0078341734904159,-0.0186702952971439
