setor,mean_weighted,mean_simple,median,std,min,max,p25,p75,pct_above_1,n_valid
"Indústria extrativa e agropecuária",1.48864479887647,1.60053624324476,1.24214291736181,1.10141182448393,0.512404720824523,9.91556996153894,0.900101000629,1.92169632965486,0.667883211678832,548
"Alimentos e bebidas",1.06977956897544,1.10585433510092,1.05905613080654,0.257266201023006,0.510645552769276,3.25412196952092,0.972759951555355,1.16421185941273,0.688888888888889,900
"Têxteis, vestuário, couro e calçados",1.156135674143,1.23019978026446,1.14374868454956,0.520401989621507,0.505920340161424,7.71062069937052,1.00934737379594,1.30880355061612,0.762259466170081,1611
"Madeira, celulose, papel, artigos de borracha e material plástico",1.33430041680485,1.5649100830024,1.27426192417929,1.04927770473646,0.515721631005649,8.43427410873574,1.01269393091269,1.67626948761249,0.769503546099291,564
"Indústria química e petroquímica",0.942976805031097,1.33187930281608,1.19538649073141,0.609838122363202,0.506050931482708,5.64941819956494,0.951700822296375,1.55658841416821,0.688949522510232,733
"Metalurgia, siderurgia e produtos de minerais não-metálicos",1.33591442946072,1.30357493153415,1.16109157458369,0.636914408069401,0.501639890717832,8.85360641493344,0.96569023009912,1.4408395148298,0.703994760969221,1527
"Máquinas, equipamentos e aparelhos diversos",1.14314720977926,1.25150598135481,1.19706683201678,0.396044460735099,0.507453433425057,4.99755395093953,1.03833224840964,1.36692192962622,0.78868258178603,1131
"Veículos automotores e e outros equipamentos de transporte",1.1239356101488,1.25809435786418,1.16688997206158,0.53515683749646,0.50510050458439,8.88396264331439,1.03472955779778,1.36545181197334,0.794303797468354,948
