setor_nome,ano,markup_medio,markup_se,markup_std,ci_lower,ci_upper,n_obs,market_power
"Alimentos e bebidas",1989,0.763774219764516,0.187531369925225,0.265209406718659,0.396212734711075,1.13133570481796,2,0
"Alimentos e bebidas",1990,1.39324804630184,0.0532344431255325,0.119035833573037,1.28890853777579,1.49758755482788,5,1
"Alimentos e bebidas",1991,1.67451469217048,0.208997532387956,0.417995064775913,1.26487952869009,2.08414985565088,4,1
"Alimentos e bebidas",1992,1.04615464530229,0.0589993577907356,0.117998715581471,0.930515904032447,1.16179338657213,4,0
"Alimentos e bebidas",1993,1.19375062236883,0.0538140156816854,0.107628031363371,1.08827515163273,1.29922609310494,4,1
"Alimentos e bebidas",1994,0.887736906134136,0.0896127130623243,0.179225426124649,0.71209598853198,1.06337782373629,4,0
"Alimentos e bebidas",1995,1.27577635695599,0.0658558257394243,0.131711651478849,1.14669893850672,1.40485377540527,4,1
"Alimentos e bebidas",1996,1.34669802606995,0.0249024910121774,0.0498049820243549,1.29788914368609,1.39550690845382,4,1
"Alimentos e bebidas",1997,1.19710241212377,0.0665380298613811,0.162984221650454,1.06668787359547,1.32751695065208,6,1
"Alimentos e bebidas",1998,1.1059651051439,0.0705785702757763,0.223189036069711,0.967631107403379,1.24429910288442,10,0
"Alimentos e bebidas",1999,0.989472151981795,0.0338789257985555,0.131212515405202,0.923069457416626,1.05587484654696,15,0
"Alimentos e bebidas",2000,0.923529450053639,0.036902821748945,0.138077715589742,0.851199919425707,0.995858980681572,14,0
"Alimentos e bebidas",2001,0.954783186912761,0.0292777152904757,0.10142098082528,0.897398864943428,1.01216750888209,12,0
"Alimentos e bebidas",2002,0.993566746487309,0.0160010395965582,0.0554292271103203,0.962204708878055,1.02492878409656,12,0
"Alimentos e bebidas",2003,1.03332763133813,0.026242544772775,0.0946188407768997,0.98189224358349,1.08476301909277,13,0
"Alimentos e bebidas",2004,1.07940068268054,0.0109115602198335,0.0436462408793339,1.05801402464966,1.10078734071141,16,1
"Alimentos e bebidas",2005,1.11149628851214,0.0455385110428159,0.198497767674946,1.02224080686822,1.20075177015606,19,1
"Alimentos e bebidas",2006,1.19784613599415,0.0684226363327849,0.348888357832333,1.0637377687819,1.33195450320641,26,1
"Alimentos e bebidas",2007,1.17289963971291,0.0653526944148644,0.386631754198866,1.04480835865977,1.30099092076604,35,1
"Alimentos e bebidas",2008,1.08499341274032,0.0439663247348327,0.267436712691964,0.998819416260043,1.17116740922059,37,0
