setor,beta0,beta_k,beta_kk,beta_omega,beta_v,beta_vv,beta_vk
"Indústria extrativa e agropecuária",NaN,-0.55652974485223,-0.00714825167730498,1,1.611080019925,-0.0655565180761831,0.0690670715100811
"Alimentos e bebidas",NaN,-0.209137327170759,-0.0396083041794182,1,1.38323225834485,-0.0747357954253078,0.106633563721473
"Têxteis, vestuário, couro e calçados",NaN,-0.0659945368876425,0.0230062169088251,1,1.04347854967,0.0174183409945583,-0.0390121169743819
"Madeira, celulose, papel, artigos de borracha e material plástico",NaN,0.26547314247383,0.148970878385297,1,0.991682781446501,0.302477186638066,-0.446255811014746
"Indústria química e petroquímica",NaN,0.042714510059042,-0.00552342595938915,1,0.936848303631017,-0.00246070895492362,0.0097877823499839
"Metalurgia, siderurgia e produtos de minerais não-metálicos",NaN,0.0816638106884606,-0.123596061101033,1,-0.287490054822049,-0.0861583861075681,0.259305197451345
"Máquinas, equipamentos e aparelhos diversos",NaN,0.332215818449774,-0.0337784400389999,1,0.300628916210244,0.022549411774838,0.0194445513419546
"Veículos automotores e outros equipamentos de transporte",NaN,0.0159320053623218,0.00260957589428878,1,1.02989853381973,0.00173829895478761,-0.0055744050831093
