setor_codigo,setor_nome,empresa,ano,trimestre,markup,theta_v,theta_k,share_v,log_v,log_k
2022130,"Têxteis, vestuário, couro e calçados",CATA,2007,4,1.36655980407704,1.01750523756971,-0.0109075888687946,0.894017608778107,11.7809221100676,11.1857951588177
2022130,"Têxteis, vestuário, couro e calçados",CATA,2008,1,1.09396862219651,0.964255000339396,0.0487912527178656,0.96583850935674,10.284232446373,11.2142615806863
2022130,"Têxteis, vestuário, couro e calçados",CATA,2008,2,1.32095131088333,0.990502301562339,0.0194725772059161,0.898328263227152,11.0735922685748,11.2463381757326
2022130,"Têxteis, vestuário, couro e calçados",CATA,2008,3,1.42893238435101,1.00813043031864,-0.000266283371562315,0.871518492416733,11.5806406333421,11.2472546571485
2022130,"Têxteis, vestuário, couro e calçados",CATA,2008,4,1.30630814824995,1.01861803411978,-0.012051332888628,0.914462599153661,11.8622136383714,11.2298617387211
2022130,"Têxteis, vestuário, couro e calçados",CATA,2009,1,1.19034039007229,0.969355231232897,0.0431355638759909,0.930521357663189,10.4575402304585,11.238285841342
2022130,"Têxteis, vestuário, couro e calçados",CATA,2009,2,1.15868513757749,0.996766723260598,0.012366668181011,0.962914616176742,11.209741699594,11.2073393367861
2022130,"Têxteis, vestuário, couro e calçados",CATA,2009,3,1.23522123649399,1.01340127363018,-0.00627079586599216,0.939230945796662,11.6828395750895,11.2034074780943
2022130,"Têxteis, vestuário, couro e calçados",CATA,2009,4,1.18100540041742,1.02509811292928,-0.019380010847713,0.962976813685754,12.0135803213887,11.1989235097018
2022130,"Têxteis, vestuário, couro e calçados",CATA,2010,1,0.988926388924946,0.97710915816973,0.0343309308337257,1.02826021482194,10.6216604431302,11.186083514528
2022130,"Têxteis, vestuário, couro e calçados",CATA,2010,2,1.14227508738598,1.00434520182493,0.00380067305511456,0.973571877621042,11.3891377357343,11.1732751534947
