setor,method,reduced_form_r2,rsquared_2sls,rmse,f_stat_mean,weak_instruments,n_obs,n_instruments,omega_mean,omega_std
"Indústria extrativa e agropecuária",2SLS,NaN,0.79993002003796,0.229553257740598,NaN,0,568,6,-0.0481418801547561,0.51368811789015
"Alimentos e bebidas",2SLS,NaN,0.26328989917581,0.156098722442166,NaN,0,1092,6,-0.780177339301054,0.181952546990543
"Têxteis, vestuário, couro e calçados",2SLS,NaN,0.900552045064613,0.122631379764409,NaN,0,1659,6,0.0492254882230878,0.388988154530985
"Madeira, celulose, papel, artigos de borracha e material plástico",2SLS,NaN,0.334706915509969,1.04762935944975,NaN,0,628,6,-2.39926408559976,1.28545662684793
"Indústria química e petroquímica",2SLS,NaN,0.894744636784392,0.136512736299287,NaN,0,1001,6,-0.0385337150766274,0.420992930041633
"Metalurgia, siderurgia e produtos de minerais não-metálicos",2SLS,NaN,0.954309975252741,0.331828784236522,NaN,0,1610,6,6.84210176836353,1.55289207745659
"Máquinas, equipamentos e aparelhos diversos",2SLS,NaN,0.897158030156463,0.298315459512879,NaN,0,1367,6,3.00377241714784,0.930580391128967
"Veículos automotores e outros equipamentos de transporte",2SLS,NaN,0.711741129954675,0.183993318749151,NaN,0,1265,6,-0.314645015979681,0.342835369134519
