setor,beta0,beta_k,beta_kk,beta_omega,beta_v,beta_vv,beta_vk
"Indústria extrativa e agropecuária",0.721455686095874,-0.852869644373255,-0.0480871172407357,1,1.75907356550485,-0.112539649275754,0.164489086833655
"Alimentos e bebidas",0.0854086685690709,0.000759552003687564,0.000676018184614494,1,0.996105630659245,-0.00119443749200522,0.000769369277193332
"Têxteis, vestuário, couro e calçados",0.0900108998691684,-0.03830668631363,-0.0594848800271042,1,0.972506909465209,-0.0568404139596863,0.121693658783208
"Madeira, celulose, papel, artigos de borracha e material plástico",0.334453149690907,-0.217788145804171,-0.0945192956099535,1,1.19935509442316,-0.12394366299047,0.218539193580987
"Indústria química e petroquímica",0.0312194929379762,-0.169109156443727,-0.0259017171312338,1,1.11859748299474,-0.0370121876486865,0.066602043555495
"Metalurgia, siderurgia e produtos de minerais não-metálicos",0.114237026204843,0.13885187312802,-0.0309754735997908,1,0.806449955362713,-0.0169223027001281,0.052199873908104
"Máquinas, equipamentos e aparelhos diversos",0.0869998306695945,0.0494125975274693,-0.0360854088917694,1,0.950896590214674,-0.0242331909895835,0.0600489585884072
"Veículos automotores e e outros equipamentos de transporte",-0.00924057045236325,-0.215937002362429,0.0102894827993473,1,1.19821873844009,-0.00221743389496003,-0.00628725829344911
