setor,mean_weighted,mean_simple,median,std,min,max,p25,p75,pct_above_1,n_valid
"Indústria extrativa e agropecuária",1.51178211828457,1.41064640996488,1.22199976396451,0.852458250618204,0.524840318908071,8.54813077098233,0.951045358899781,1.59836943660281,0.697802197802198,546
"Alimentos e bebidas",1.0609781421717,1.07579760286143,1.04634287411355,0.155992225715094,0.522999821066786,1.88482675065549,0.990345590804532,1.13162682519161,0.710622710622711,1092
"Têxteis, vestuário, couro e calçados",1.17136728909375,1.18984965990549,1.1295694374346,0.423250295438318,0.506940319574769,6.55246364833528,1.00540999019116,1.26596178558429,0.760842627013631,1614
"Madeira, celulose, papel, artigos de borracha e material plástico",1.22266705767293,1.32079419931724,1.12977964695,0.859224312275751,0.500279873267883,7.27641012632373,0.797612260895964,1.53838062294711,0.579654510556622,521
"Indústria química e petroquímica",1.04580900885929,1.24839639676267,1.19202187309804,0.415289910038445,0.501998591134149,3.94409960486096,0.991668132874907,1.40795743977169,0.741228070175439,912
"Metalurgia, siderurgia e produtos de minerais não-metálicos",1.42434511326556,1.26602087558566,1.15650167131655,0.560979897767621,0.500134880064991,8.16331300168476,0.989061591273741,1.37755297924316,0.732603092783505,1552
"Máquinas, equipamentos e aparelhos diversos",1.37739654968202,1.28888352692546,1.1423442192836,0.809886754390264,0.505738513474785,9.54702914353819,0.993980275702601,1.32453739209567,0.738562091503268,1224
"Veículos automotores e outros equipamentos de transporte",1.21332249332906,1.23416130315336,1.17027940567482,0.368642936964037,0.515984653358273,4.03702221923302,1.04418772543622,1.35463747011911,0.808823529411765,1224
