setor_nome,ano,markup_medio,markup_se,markup_std,ci_lower,ci_upper,n_obs,market_power
"Alimentos e bebidas",1989,0.94073135679111,0.112665233056429,0.159332700596327,0.71990750000051,1.16155521358171,2,0
"Alimentos e bebidas",1990,1.27965017361895,0.0292289995947211,0.0653580300081101,1.22236133441329,1.3369390128246,5,1
"Alimentos e bebidas",1991,1.37929199971526,0.0887861674880522,0.177572334976104,1.20527111143868,1.55331288799185,4,1
"Alimentos e bebidas",1992,1.08836834159306,0.0348342387866195,0.0696684775732389,1.02009323357128,1.15664344961483,4,1
"Alimentos e bebidas",1993,1.1572162410484,0.0210819354406697,0.0421638708813393,1.11589564758468,1.19853683451211,4,1
"Alimentos e bebidas",1994,0.991907640753134,0.0329376946141923,0.0736509241794627,0.927349759309317,1.05646552219695,5,0
"Alimentos e bebidas",1995,1.1189478515877,0.0304401370674743,0.0860977093626363,1.05928518293545,1.17861052023995,8,1
"Alimentos e bebidas",1996,1.13177931367333,0.0381621776315886,0.107938938352567,1.05698144551541,1.20657718183124,8,1
"Alimentos e bebidas",1997,1.02804494887892,0.0473138931190353,0.14961966722592,0.935309718365612,1.12078017939223,10,0
"Alimentos e bebidas",1998,1.0130413263594,0.0369852941785214,0.138386299165072,0.940550149769497,1.0855325029493,14,0
"Alimentos e bebidas",1999,0.991284662241687,0.0201731239846865,0.0879326088247652,0.951745339231701,1.03082398525167,19,0
"Alimentos e bebidas",2000,0.982279493828473,0.0203020595165211,0.0861343437371099,0.942487457176092,1.02207153048085,18,0
"Alimentos e bebidas",2001,0.977058838538125,0.0162830424974849,0.0651321699899397,0.945144075243055,1.0089736018332,16,0
"Alimentos e bebidas",2002,1.01732364389592,0.0123020518831504,0.0492082075326017,0.993211622204944,1.04143566558689,16,0
"Alimentos e bebidas",2003,1.04269741345306,0.013103341135156,0.0540264595487488,1.01701486482815,1.06837996207796,17,1
"Alimentos e bebidas",2004,1.05242939960658,0.0128171535227657,0.05732005310991,1.02730777870196,1.0775510205112,20,1
"Alimentos e bebidas",2005,1.05808575644493,0.0254319189134421,0.121967198423418,1.00823919537458,1.10793231751527,23,1
"Alimentos e bebidas",2006,1.08898040785457,0.0319100538737343,0.174778563178494,1.02643670226205,1.15152411344709,30,1
"Alimentos e bebidas",2007,1.05498094602301,0.0338667139860594,0.216852777166343,0.988602186610336,1.12135970543569,41,0
"Alimentos e bebidas",2008,1.00024711089027,0.0289274967568262,0.189690281644833,0.943549217246886,1.05694500453364,43,0
"Alimentos e bebidas",2009,1.0606843014938,0.0232579974513128,0.154276101842093,1.01509862648922,1.10626997649837,44,1
"Alimentos e bebidas",2010,1.09090414647731,0.0289579209789804,0.189889786611259,1.03414662135851,1.14766167159612,43,1
"Alimentos e bebidas",2011,1.14183611455616,0.0283046824871713,0.183435307750123,1.0863589368813,1.19731329223101,42,1
"Alimentos e bebidas",2012,1.15466345270955,0.0321685755027602,0.203451935343637,1.09161304472414,1.21771386069496,40,1
"Alimentos e bebidas",2013,1.08884358433925,0.0134005124092459,0.0836861731732535,1.06257858001712,1.11510858866137,39,1
"Alimentos e bebidas",2014,1.0845779911045,0.0189877639233876,0.123054774430059,1.04736197381466,1.12179400839434,42,1
"Alimentos e bebidas",2015,1.09553680870356,0.0195916251670046,0.126968242567758,1.05713722337623,1.13393639403089,42,1
