setor,beta0,beta_k,beta_kk,beta_omega,beta_v,beta_vv,beta_vk
"Indústria extrativa e agropecuária",0.684979186645558,-0.852455823227398,-0.0267402113532334,0.790608459475938,1.77346062355508,-0.0915566904977968,0.121170931637614
"Alimentos e bebidas",0.0475182674947655,-0.0335441507658581,-0.00138591258586654,1.01223282711593,1.03826014967154,-0.00637238587412422,0.00763332161087226
"Têxteis, vestuário, couro e calçados",0.253399744938309,-0.147687051203083,-0.0731775978906518,1.01388455692798,1.04181346636452,-0.080116759153066,0.160965532536913
"Madeira, celulose, papel, artigos de borracha e material plástico",-1.46721143172263,1.16673842712046,-0.262635243882824,1.00723618094494,-0.0219396260217683,-0.236214002520876,0.494842579140081
"Indústria química e petroquímica",-0.245490812042863,-0.169038776966962,-0.0269541190236217,1.00978594460771,1.16954282876301,-0.0399710249018845,0.0685656570865337
"Metalurgia, siderurgia e produtos de minerais não-metálicos",0.258565419620673,0.108061222734274,-0.0252858399374145,1.01081036602393,0.810487935230553,-0.011524159316293,0.0422882700529451
"Máquinas, equipamentos e aparelhos diversos",-0.383301211849209,0.732679817918577,-0.0332039708198337,1.00923266816093,0.41036584187319,0.0299911006871528,-0.00596632947587879
"Veículos automotores e outros equipamentos de transporte",0.0659599055193244,-0.186486954624953,0.0135985227070465,1.00145797756888,1.15213850473717,0.00485350671725996,-0.0158208104579071
