setor,method,reduced_form_r2,rsquared_2sls,rmse,f_stat_mean,weak_instruments,n_obs,n_instruments,omega_mean,omega_std
"Indústria extrativa e agropecuária",2SLS,0.978013135631908,0.991951764305203,0.231022437091795,2180.65939537333,0,505,19,-1.12421067760158e-10,0.437934580671785
"Alimentos e bebidas",2SLS,0.999002062690465,0.999564446885218,0.0479554202913059,11498.0042005383,0,1016,19,-2.27751216339621e-11,0.0797300032383039
"Têxteis, vestuário, couro e calçados",2SLS,0.991048262363658,0.996283892139569,0.149699510425916,9841.86441392183,0,1584,19,5.44778889470051e-11,0.290388527016702
"Madeira, celulose, papel, artigos de borracha e material plástico",2SLS,0.981927288893097,0.986457979841713,0.375671668902689,3321.66638976249,0,598,19,2.63935335017145e-11,0.515854544520297
"Indústria química e petroquímica",2SLS,0.97742494551303,0.996402936245359,0.166070864334516,4980.94514573756,0,936,19,6.13135185868562e-11,0.474185299439697
"Metalurgia, siderurgia e produtos de minerais não-metálicos",2SLS,0.992783409767193,0.996507033310311,0.182869433975404,13465.4585685045,0,1525,19,-3.42410323697346e-12,0.309204360771158
"Máquinas, equipamentos e aparelhos diversos",2SLS,0.983811350401458,0.984675512057664,0.343955636919192,5188.4203409645,0,1277,19,2.09885591796818e-12,0.423096826476891
"Veículos automotores e outros equipamentos de transporte",2SLS,0.991994959652003,0.998529064705211,0.136736641462037,7298.45901912107,0,1210,19,-6.93714387646762e-13,0.379147251776145
