setor,method,reduced_form_r2,rsquared_2sls,rmse,f_stat_mean,weak_instruments,n_obs,n_instruments,omega_mean,omega_std
"Indústria extrativa e agropecuária",2SLS,0.978013135631908,0.991951764305203,0.231022437091795,2180.65939537333,0,505,19,-1.12421067760158e-10,0.437934580671785
"Alimentos e bebidas",2SLS,0.998830041302621,0.999480631221366,0.0520222755085734,8917.49880290645,0,843,19,-1.13902501000395e-11,0.0866359840592659
"Têxteis, vestuário, couro e calçados",2SLS,0.991048262363658,0.996283892139569,0.149699510425916,9841.86441392183,0,1584,19,5.44778889470051e-11,0.290388527016702
"Madeira, celulose, papel, artigos de borracha e material plástico",2SLS,0.981927288893097,0.986457979841713,0.375671668902689,3321.66638976249,0,598,19,2.63935335017145e-11,0.515854544520297
"Indústria química e petroquímica",2SLS,0.972645081361447,0.995092350742036,0.199418673079231,3818.69529139808,0,738,19,4.20251856293417e-11,0.523887464844804
"Metalurgia, siderurgia e produtos de minerais não-metálicos",2SLS,0.992783409767193,0.996507033310311,0.182869433975404,13465.4585685045,0,1525,19,-3.42410323697346e-12,0.309204360771158
"Máquinas, equipamentos e aparelhos diversos",2SLS,0.986787596254954,0.999136606819185,0.0798104318976098,5525.37351324158,0,1110,19,-2.29634595445785e-12,0.375481175724821
"Veículos automotores e e outros equipamentos de transporte",2SLS,0.990558729131562,0.997621756459923,0.16627926262097,5736.63538350375,0,938,19,-6.03448624857392e-11,0.392115673951804
