parametro,valor
beta0,0.0292567232914769
beta_k,-0.231577674350291
beta_kk,0.0112870932645625
beta_omega,1.00674397405029
beta_v,1.20865929361644
beta_vv,-0.00253613277154904
beta_vk,-0.0067989096387473
